Company Name,Symbol,Offer Amount,Date Filed,,,
FELLAZO CORP,,"$80,000",11/27/15,,,
NOMAD FOODS LTD,NOMD,"$1,657,749,166.50",11/24/15,,,
JENSYN ACQUISITION CORP.,JSYNU,"$39,000,000",11/23/15,,,
PULTE ACQUISITION CORP.,PLTEU,"$80,500,000",11/17/15,,,
YIRENDAI LTD.,YRD,"$75,000,000",11/16/15,,,
MEDICO INTERNATIONAL INC.,MOTL,"$700,000",11/16/15,,,
EMEDIA GROUP INC.,,"$150,000",11/16/15,,,
"MESSAGEBGONE, INC.",,"$180,000",11/16/15,,,
"INPELLIS, INC.",,"$20,000,000",11/12/15,,,
"MONSTER DIGITAL, INC.",MSDIU,"$17,250,000",11/10/15,,,
SURGIQUEST INC,,"$75,000,000",11/10/15,,,
DUNDON CAPITAL ACQUISITION CORP,DCAU,"$460,000,000",11/9/15,,,
"AMERIQUEST, INC.",AMQ,"$75,000,000",11/9/15,,,
INFINITY (INT'L) TRAVEL HOLDINGS INC.,,"$200,000",11/9/15,,,
GROWGENERATION CORP.,,"$3,738,001.20",11/9/15,,,
"ELEVATE CREDIT, INC.",ELVT,"$91,080,000",11/9/15,,,
ATLASSIAN CORP PLC,TEAM,"$462,000,000",11/9/15,,,
"TURNING POINT BRANDS, INC.",TPB,"$93,150,000",11/5/15,,,
"SHIMMICK CONSTRUCTION COMPANY, INC.",SCCI,"$93,437,500",11/4/15,,,
"KILLER WAVES HAWAII, INC",,"$74,400",11/3/15,,,
MESOBLAST LTD,MESO,"$59,836,936",11/2/15,,,
"PROTEOSTASIS THERAPEUTICS, INC.",PTI,"$50,000,000",12/23/15,,,
"CANCER PREVENTION PHARMACEUTICALS, INC.",CPP,"$30,961,532",12/23/15,,,
"NUTANIX, INC.",NTNX,"$200,000,000",12/22/15,,,
"PULSE BIOSCIENCES, INC.",PLSE,"$23,000,000",12/22/15,,,
TIGENIX NV,TIG,"$57,500,000",12/22/15,,,
"ACACIA COMMUNICATIONS, INC.",ACIA,"$119,025,000",12/21/15,,,
WHISKEY ACQUISITION INC.,,"$220,000",12/18/15,,,
ISIGN SOLUTIONS INC.,,"$9,200,000",12/17/15,,,
SECUREWORKS CORP,SCWX,"$112,000,000",12/17/15,,,
AZURE POWER GLOBAL LTD,AZRE,"$100,000,000",12/16/15,,,
"HEBRON TECHNOLOGY CO., LTD",HEBT,"$20,000,000",12/16/15,,,
"RANCHO SANTA FE MINING, INC.",,"$10,000,000",12/15/15,,,
NEXTGLASS TECHNOLOGIES CORP.,,"$2,500,000",12/9/15,,,
FUNDTHATCOMPANY,,"$150,000",12/4/15,,,
"SUPPORTINGSMALLBUSINESS, INC.",,"$5,000,000",12/2/15,,,
PLUSH CORP,,"$30,000",1/29/16,,,
SILVER RUN ACQUISITION CORP,SRAQU,"$450,000,000",1/27/16,,,
XG SCIENCES INC,,"$16,000,000",1/27/16,,,
"ROYAL COUNTRY CLUB & RECREATION HOLDINGS, INC.",,"$400,000",1/26/16,,,
TACTILE SYSTEMS TECHNOLOGY INC,TCMD,"$86,250,000",1/25/16,,,
KLR ENERGY ACQUISITION CORP.,KLREU,"$80,000,000",1/19/16,,,
AXETURE CORP,,"$100,000",1/19/16,,,
TITAN COMPUTER SERVICES INC.,,"$871,850",1/19/16,,,
PC MOBILE MEDIA CORP.,,"$40,000",1/19/16,,,
"GLOBAL WATER RESOURCES, INC.",GWRS,"$7,280,000",1/19/16,,,
"AVEXIS, INC.",AVXS,"$95,000,000",1/15/16,,,
"ONCOBIOLOGICS, INC.",ONS,"$74,750,000",1/15/16,,,
"SENSEONICS HOLDINGS, INC.",SENS,"$45,030,000",1/13/16,,,
RELIANT SERVICE INC,,"$80,000",1/11/16,,,
"POSTADS, INC.",,"$94,000",1/8/16,,,
"CLEARSIDE BIOMEDICAL, INC.",CLSD,"$57,500,000",1/8/16,,,
"OTG EXP, INC.",OTG,"$672,750,000",1/7/16,,,
GRUPO SUPERVIELLE S.A.,SUPV,"$100,000,000",1/6/16,,,
"SPRING BANK PHARMACEUTICALS, INC.",SBPH,"$18,579,400",1/5/16,,,
"VISTERRA, INC.",VIST,"$69,000,000",1/5/16,,,
NOVA SMART SOLUTIONS INC,,"$6,172,540",1/5/16,,,
"TRUPAL MEDIA, INC.",,"$248,513",1/5/16,,,
SYNDAX PHARMACEUTICALS INC,SNDX,"$52,800,000",1/4/16,,,
"TABULA RASA HEALTHCARE, INC.",TRHC,"$115,000,000",1/4/16,,,
"EDITAS MEDICINE, INC.",EDIT,"$94,400,000",1/4/16,,,
